id,sensorId,timestamp,readingType,value,unit,createdAt
TEL-0,SEN-001,2024-01-01 00:00:00,STRAIN,0.005,ratio,2024-01-01 00:00:00
TEL-19,SEN-020,2024-01-01 00:00:00,TEMPERATURE,37.63,C,2024-01-01 00:00:00
TEL-18,SEN-019,2024-01-01 00:00:00,TEMPERATURE,21.09,C,2024-01-01 00:00:00
TEL-17,SEN-018,2024-01-01 00:00:00,STRAIN,0.0071,ratio,2024-01-01 00:00:00
TEL-16,SEN-017,2024-01-01 00:00:00,STRAIN,0.0054,ratio,2024-01-01 00:00:00
TEL-15,SEN-016,2024-01-01 00:00:00,PRESSURE,3.17,bar,2024-01-01 00:00:00
TEL-13,SEN-014,2024-01-01 00:00:00,PRESSURE,1.83,bar,2024-01-01 00:00:00
TEL-12,SEN-013,2024-01-01 00:00:00,TEMPERATURE,33.46,C,2024-01-01 00:00:00
TEL-11,SEN-012,2024-01-01 00:00:00,TEMPERATURE,41.63,C,2024-01-01 00:00:00
TEL-10,SEN-011,2024-01-01 00:00:00,PRESSURE,2.82,bar,2024-01-01 00:00:00
TEL-14,SEN-015,2024-01-01 00:00:00,TEMPERATURE,31.38,C,2024-01-01 00:00:00
TEL-8,SEN-009,2024-01-01 00:00:00,TEMPERATURE,28.5,C,2024-01-01 00:00:00
TEL-7,SEN-008,2024-01-01 00:00:00,PRESSURE,2.93,bar,2024-01-01 00:00:00
TEL-6,SEN-007,2024-01-01 00:00:00,STRAIN,0.0072,ratio,2024-01-01 00:00:00
TEL-5,SEN-006,2024-01-01 00:00:00,STRAIN,0.0043,ratio,2024-01-01 00:00:00
TEL-4,SEN-005,2024-01-01 00:00:00,STRAIN,0.0047,ratio,2024-01-01 00:00:00
TEL-3,SEN-004,2024-01-01 00:00:00,TEMPERATURE,44.51,C,2024-01-01 00:00:00
TEL-2,SEN-003,2024-01-01 00:00:00,PRESSURE,2.04,bar,2024-01-01 00:00:00
TEL-1,SEN-002,2024-01-01 00:00:00,PRESSURE,2.27,bar,2024-01-01 00:00:00
TEL-9,SEN-010,2024-01-01 00:00:00,PRESSURE,3.05,bar,2024-01-01 00:00:00
TEL-32,SEN-013,2024-01-01 01:00:00,TEMPERATURE,41.81,C,2024-01-01 01:00:00
TEL-33,SEN-014,2024-01-01 01:00:00,VIBRATION,1.735,mm/s,2024-01-01 01:00:00
TEL-34,SEN-015,2024-01-01 01:00:00,STRAIN,0.0058,ratio,2024-01-01 01:00:00
